seriesID,trait.name,T,trait,ErrorPosSI,ErrorNegSI,Trait2.name,Trait,host.code,paras.code,Citation,Figure,Notes
Shocket,1/mu,16,86.9,,,Population,Field-derived,Cpip,,Ciota_2014_JMedEntom,Figure 2B,Difficult to distinguish some symbols - used medians (in Fig 4) as a key
Shocket,1/mu,20,112.2,,,Population,Field-derived,Cpip,,Ciota_2014_JMedEntom,Figure 2B,Difficult to distinguish some symbols - used medians (in Fig 4) as a key
Shocket,1/mu,24,43,,,Population,Field-derived,Cpip,,Ciota_2014_JMedEntom,Figure 2B,Difficult to distinguish some symbols - used medians (in Fig 4) as a key
Shocket,1/mu,28,34.7,,,Population,Field-derived,Cpip,,Ciota_2014_JMedEntom,Figure 2B,Difficult to distinguish some symbols - used medians (in Fig 4) as a key
Shocket,1/mu,32,23.8,,,Population,Field-derived,Cpip,,Ciota_2014_JMedEntom,Figure 2B,Difficult to distinguish some symbols - used medians (in Fig 4) as a key
Shocket,1/mu,16,72.4,,,Population,Lab colony,Cpip,,Ciota_2014_JMedEntom,Figure 2B,Difficult to distinguish some symbols - used medians (in Fig 4) as a key
Shocket,1/mu,20,43.6,,,Population,Lab colony,Cpip,,Ciota_2014_JMedEntom,Figure 2B,Difficult to distinguish some symbols - used medians (in Fig 4) as a key
Shocket,1/mu,24,26,,,Population,Lab colony,Cpip,,Ciota_2014_JMedEntom,Figure 2B,Difficult to distinguish some symbols - used medians (in Fig 4) as a key
Shocket,1/mu,28,7.3,,,Population,Lab colony,Cpip,,Ciota_2014_JMedEntom,Figure 2B,Difficult to distinguish some symbols - used medians (in Fig 4) as a key
Shocket,1/mu,32,3.5,,,Population,Lab colony,Cpip,,Ciota_2014_JMedEntom,Figure 2B,Difficult to distinguish some symbols - used medians (in Fig 4) as a key
Shocket,1/mu,16,94.2,,,Population,Field-derived,Cqui,,Ciota_2014_JMedEntom,Figure 2B,Difficult to distinguish some symbols - used medians (in Fig 4) as a key
Shocket,1/mu,20,80.3,,,Population,Field-derived,Cqui,,Ciota_2014_JMedEntom,Figure 2B,Difficult to distinguish some symbols - used medians (in Fig 4) as a key
