Ref,trait.name,T.C,T.K,trait,ErrorPosSI,ErrorNegSI,Trait2.name,Trait,host.code,paras.code,Citation,Figure,Notes,joint.code,Increasing
fromNumazu_11,EIP,10,283.15,1000,NA,NA,NA,NA,Ctar,SLEV,Reisen_1993_J_Med_Entomology,Figure 1,No mosquitoes transmitted during experiment,CtarSLEV,Yes
fromNumazu_11,EIP,15,288.15,72,NA,NA,NA,NA,Ctar,SLEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarSLEV,Yes
fromNumazu_11,EIP,20,293.15,21,NA,NA,NA,NA,Ctar,SLEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarSLEV,Yes
fromNumazu_11,EIP,25,298.15,10,NA,NA,NA,NA,Ctar,SLEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarSLEV,Yes
fromNumazu_11,EIP,30,303.15,7,NA,NA,NA,NA,Ctar,SLEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarSLEV,Yes
fromNumazu_9,EIP,10,283.15,24,NA,NA,NA,NA,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV,Yes
fromNumazu_9,EIP,15,288.15,13,NA,NA,NA,NA,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV,Yes
fromNumazu_9,EIP,18,291.15,12,NA,NA,NA,NA,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV,Yes
fromNumazu_9,EIP,20,293.15,10,NA,NA,NA,NA,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV,Yes
fromNumazu_9,EIP,25,298.15,7,NA,NA,NA,NA,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV,Yes
fromNumazu_9,EIP,30,303.15,4,NA,NA,NA,NA,Ctar,WEEV,Reisen_1993_J_Med_Entomology,Figure 1,,CtarWEEV,Yes
Verwillow_25,EIP,10,283.15,1000,NA,NA,NA,NA,Ctar,WNV,Reisen_2006_JMedEntomol,Figure 4,No mosquitoes transmitted during experiment (110 days),CtarWNV,Yes
Verwillow_25,EIP,14,287.15,36,NA,NA,NA,NA,Ctar,WNV,Reisen_2006_JMedEntomol,Figure 4,,CtarWNV,Yes
